Coder_Name,production,sla,Status,Facility,Community,Speciality,Placement_Year,Placement_Month,Speciality
Raman Arunachalam,81,101.6,Pending,Doctor Office,Life Stride,Ortho,2015,3,Ed
Sharmistha Acharjee,55,70,not started,Urgent Care Clinic,Psychiatric Center Chartered,Urology,2015,0,Ed
Tamilarasi Tharmalingam,71,70.4,completed,Nursing Home,Family Wellness,General Surgery,2014,5,Ed
Revathi Balraj,41,48,Pending,Hospital,Anchor Mental Health,Thoracic Surgery,2015,4,Ed
Saranya Panneer,13,71.6,not started,Ambulatory Surgical Center,Marys Center,ENT,2017,11,Ed
YogeshKumar Gopal,100,93.6,completed,Doctor Office,Life Stride,GYN,2017,8,Ed
Princy Narthana Anbhalaghan,91,84,Pending,Urgent Care Clinic,Life Stride,Breast Surgery,2014,3,Ed
Raman Arunachalam,22,79.2,not started,Nursing Home,Psychiatric Center Chartered,Ortho,2017,0,Ed
Sharmistha Acharjee,65,88.4,completed,Hospital,Family Wellness,Urology,2014,9,Ed
Tamilarasi Tharmalingam,77,72,Pending,Ambulatory Surgical Center,Anchor Mental Health,General Surgery,2015,0,Ed
Revathi Balraj,82,94.4,not started,Doctor Office,Marys Center,Thoracic Surgery,2015,4,Ed
Saranya Panneer,32,48.8,completed,Urgent Care Clinic,Life Stride,ENT,2015,7,Ed
YogeshKumar Gopal,39,45.6,Pending,Nursing Home,Life Stride,GYN,2017,2,Ed
Princy Narthana Anbhalaghan,67,69.2,not started,Hospital,Psychiatric Center Chartered,Breast Surgery,2015,9,Ed
Raman Arunachalam,75,66.4,completed,Ambulatory Surgical Center,Family Wellness,Ortho,2014,4,Ed
Sharmistha Acharjee,19,57.6,Pending,Doctor Office,Anchor Mental Health,Urology,2014,4,Ed
Tamilarasi Tharmalingam,59,46.8,not started,Urgent Care Clinic,Marys Center,General Surgery,2014,1,Ed
Revathi Balraj,27,68.8,completed,Nursing Home,Life Stride,Thoracic Surgery,2015,5,Ed
Saranya Panneer,18,34,Pending,Hospital,Life Stride,ENT,2014,10,Ed
YogeshKumar Gopal,35,42,not started,Ambulatory Surgical Center,Psychiatric Center Chartered,GYN,2015,0,Ed
Princy Narthana Anbhalaghan,37,56.8,completed,Doctor Office,Family Wellness,Breast Surgery,2016,1,Ed
Raman Arunachalam,17,19.6,Pending,Urgent Care Clinic,Anchor Mental Health,Ortho,2015,0,Ed
Sharmistha Acharjee,38,56,not started,Nursing Home,Marys Center,Urology,2014,4,Ed
Tamilarasi Tharmalingam,96,86.4,completed,Hospital,Life Stride,General Surgery,2014,10,Ed
Revathi Balraj,92,95.2,Pending,Ambulatory Surgical Center,Life Stride,Thoracic Surgery,2014,6,Ed
Saranya Panneer,85,70.4,not started,Doctor Office,Psychiatric Center Chartered,ENT,2016,6,Ed
YogeshKumar Gopal,62,81.2,completed,Urgent Care Clinic,Family Wellness,GYN,2017,3,Ed
Revathi Balraj,42,37.2,Pending,Urgent Care Clinic,Life Stride,Breast Surgery,2014,3,Ed
Saranya Panneer,87,74.8,not started,Nursing Home,Life Stride,Ortho,2016,10,Ed
YogeshKumar Gopal,84,76.4,completed,Hospital,Psychiatric Center Chartered,Urology,2016,5,Ed
Princy Narthana Anbhalaghan,42,71.2,Pending,Ambulatory Surgical Center,Family Wellness,General Surgery,2014,8,Ed
Raman Arunachalam,45,65.2,not started,Doctor Office,Anchor Mental Health,Thoracic Surgery,2014,6,Ed
Sharmistha Acharjee,26,53.2,completed,Urgent Care Clinic,Marys Center,ENT,2017,2,Ed
Tamilarasi Tharmalingam,87,108.8,Pending,Urgent Care Clinic,Life Stride,GYN,2014,1,Ed
Revathi Balraj,48,66.8,not started,Nursing Home,Life Stride,Breast Surgery,2016,9,Ed
Saranya Panneer,20,25.6,completed,Hospital,Psychiatric Center Chartered,Ortho,2017,11,Ed
YogeshKumar Gopal,95,77.6,Pending,Ambulatory Surgical Center,Family Wellness,Urology,2015,3,Ed
Princy Narthana Anbhalaghan,82,72.4,not started,Doctor Office,Anchor Mental Health,General Surgery,2017,6,Ed
Raman Arunachalam,16,50.4,completed,Urgent Care Clinic,Marys Center,Thoracic Surgery,2014,5,Ed
Sharmistha Acharjee,71,92,Pending,Urgent Care Clinic,Life Stride,ENT,2015,2,Ed
Tamilarasi Tharmalingam,43,79.2,not started,Nursing Home,Life Stride,GYN,2015,2,Ed
Revathi Balraj,76,59.2,completed,Hospital,Psychiatric Center Chartered,Breast Surgery,2014,8,Ed
Saranya Panneer,30,82.8,Pending,Ambulatory Surgical Center,Family Wellness,Ortho,2016,11,Ed
YogeshKumar Gopal,32,30,not started,Doctor Office,Life Stride,Urology,2017,7,Ed
Princy Narthana Anbhalaghan,96,74.8,completed,Urgent Care Clinic,Life Stride,General Surgery,2016,9,Ed
Raman Arunachalam,50,77.2,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Thoracic Surgery,2017,4,Ed
Sharmistha Acharjee,12,45.2,not started,Nursing Home,Family Wellness,ENT,2017,3,Ed
Tamilarasi Tharmalingam,68,82.8,completed,Hospital,Anchor Mental Health,GYN,2014,2,Ed
Revathi Balraj,23,30.4,Pending,Ambulatory Surgical Center,Marys Center,Breast Surgery,2015,9,Ed
Saranya Panneer,22,48.4,not started,Doctor Office,Life Stride,Ortho,2014,2,Ed
YogeshKumar Gopal,16,33.2,completed,Urgent Care Clinic,Life Stride,Urology,2015,7,Ed
Revathi Balraj,80,70.4,Pending,Urgent Care Clinic,Psychiatric Center Chartered,General Surgery,2016,10,Ed
Saranya Panneer,52,81.6,not started,Nursing Home,Family Wellness,Thoracic Surgery,2015,11,Ed
YogeshKumar Gopal,72,54.4,completed,Hospital,Anchor Mental Health,ENT,2015,9,Ed
Princy Narthana Anbhalaghan,88,76,Pending,Ambulatory Surgical Center,Marys Center,GYN,2016,3,Ed
Raman Arunachalam,65,74,not started,Doctor Office,Life Stride,Breast Surgery,2015,10,Ed
Sharmistha Acharjee,87,71.2,completed,Urgent Care Clinic,Life Stride,Ortho,2014,9,Ed
Tamilarasi Tharmalingam,98,70,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Urology,2014,6,Ed
Revathi Balraj,71,88.8,not started,Nursing Home,Family Wellness,General Surgery,2016,5,Ed
Saranya Panneer,64,71.2,completed,Hospital,Life Stride,Thoracic Surgery,2015,10,Ed
YogeshKumar Gopal,48,42,Pending,Ambulatory Surgical Center,Life Stride,ENT,2017,8,Ed
Princy Narthana Anbhalaghan,67,69.6,not started,Doctor Office,Psychiatric Center Chartered,GYN,2016,4,Ed
Raman Arunachalam,87,81.6,completed,Urgent Care Clinic,Family Wellness,Breast Surgery,2014,0,Ed
Sharmistha Acharjee,29,62.8,Pending,Urgent Care Clinic,Anchor Mental Health,Ortho,2016,9,Ed
Tamilarasi Tharmalingam,11,48,not started,Nursing Home,Marys Center,Urology,2015,11,Ed
Revathi Balraj,18,31.6,completed,Hospital,Life Stride,General Surgery,2016,4,Ed
Saranya Panneer,99,91.2,Pending,Ambulatory Surgical Center,Life Stride,Thoracic Surgery,2016,0,Ed
YogeshKumar Gopal,55,65.6,not started,Doctor Office,Psychiatric Center Chartered,ENT,2017,11,Ed
Princy Narthana Anbhalaghan,24,41.6,completed,Urgent Care Clinic,Family Wellness,GYN,2014,3,Ed
Raman Arunachalam,63,54.8,Pending,Urgent Care Clinic,Anchor Mental Health,Breast Surgery,2016,6,Ed
Sharmistha Acharjee,35,42.4,not started,Nursing Home,Marys Center,Ortho,2017,6,Ed
Tamilarasi Tharmalingam,40,64.8,completed,Hospital,Life Stride,Urology,2016,4,Ed
Revathi Balraj,36,60.4,Pending,Ambulatory Surgical Center,Life Stride,General Surgery,2014,1,Ed
Saranya Panneer,75,73.2,not started,Doctor Office,Psychiatric Center Chartered,Thoracic Surgery,2014,1,Ed
YogeshKumar Gopal,49,75.6,completed,Urgent Care Clinic,Family Wellness,ENT,2016,10,Ed
Revathi Balraj,72,76,Pending,Urgent Care Clinic,Life Stride,GYN,2017,7,Ed
Saranya Panneer,34,47.6,not started,Nursing Home,Life Stride,Breast Surgery,2016,3,Ed
YogeshKumar Gopal,76,87.6,completed,Hospital,Psychiatric Center Chartered,Ortho,2016,11,Ed
Princy Narthana Anbhalaghan,12,37.2,Pending,Ambulatory Surgical Center,Family Wellness,Urology,2015,7,Ed
Raman Arunachalam,11,57.2,not started,Doctor Office,Anchor Mental Health,General Surgery,2016,3,Ed
Sharmistha Acharjee,10,38.4,completed,Urgent Care Clinic,Marys Center,Thoracic Surgery,2015,7,Ed
Tamilarasi Tharmalingam,68,69.6,Pending,Urgent Care Clinic,Life Stride,ENT,2017,4,Ed
Revathi Balraj,24,39.2,not started,Nursing Home,Life Stride,GYN,2016,5,Ed
Saranya Panneer,87,76,completed,Hospital,Psychiatric Center Chartered,Breast Surgery,2015,5,Ed
YogeshKumar Gopal,77,105.6,Pending,Ambulatory Surgical Center,Family Wellness,Ortho,2014,4,Ed
Princy Narthana Anbhalaghan,26,80,not started,Doctor Office,Anchor Mental Health,Urology,2017,6,Ed
Raman Arunachalam,90,106,completed,Urgent Care Clinic,Marys Center,General Surgery,2015,0,Ed
Sharmistha Acharjee,71,83.2,Pending,Urgent Care Clinic,Life Stride,Thoracic Surgery,2016,8,Ed
Tamilarasi Tharmalingam,90,73.6,not started,Nursing Home,Life Stride,ENT,2014,7,Ed
Revathi Balraj,21,67.6,completed,Hospital,Psychiatric Center Chartered,GYN,2016,4,Ed
Saranya Panneer,46,66,Pending,Ambulatory Surgical Center,Family Wellness,Breast Surgery,2017,0,Ed
YogeshKumar Gopal,94,52.4,not started,Doctor Office,Life Stride,Ortho,2016,2,Ed
Princy Narthana Anbhalaghan,47,70,completed,Urgent Care Clinic,Life Stride,Urology,2017,6,Ed
Raman Arunachalam,80,75.6,Pending,Urgent Care Clinic,Psychiatric Center Chartered,General Surgery,2014,4,Ed
Sharmistha Acharjee,99,60.8,not started,Nursing Home,Family Wellness,Thoracic Surgery,2016,2,Ed
Tamilarasi Tharmalingam,73,68.4,completed,Hospital,Anchor Mental Health,ENT,2017,8,Ed
Revathi Balraj,87,90.4,Pending,Ambulatory Surgical Center,Marys Center,GYN,2014,1,Ed
Saranya Panneer,31,40.4,not started,Doctor Office,Life Stride,Breast Surgery,2015,11,Ed
YogeshKumar Gopal,20,59.2,completed,Urgent Care Clinic,Life Stride,Ortho,2015,3,Ed
Revathi Balraj,53,78.4,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Urology,2017,5,Ed
Saranya Panneer,17,58,not started,Nursing Home,Family Wellness,General Surgery,2017,2,Ed
YogeshKumar Gopal,59,86.4,completed,Hospital,Anchor Mental Health,Thoracic Surgery,2014,4,Ed
Princy Narthana Anbhalaghan,10,50.8,Pending,Ambulatory Surgical Center,Marys Center,ENT,2014,4,Ed
Raman Arunachalam,22,62,not started,Doctor Office,Life Stride,GYN,2016,2,Ed
Sharmistha Acharjee,55,90,completed,Urgent Care Clinic,Life Stride,Breast Surgery,2015,7,Ed
Tamilarasi Tharmalingam,49,47.6,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Ortho,2015,2,Ed
Revathi Balraj,77,96,not started,Nursing Home,Family Wellness,Urology,2016,10,Ed
Saranya Panneer,54,64.8,completed,Hospital,Life Stride,General Surgery,2014,1,Ed
YogeshKumar Gopal,56,99.6,Pending,Ambulatory Surgical Center,Life Stride,Thoracic Surgery,2014,2,Ed
Princy Narthana Anbhalaghan,41,65.2,not started,Doctor Office,Psychiatric Center Chartered,ENT,2017,0,Ed
Raman Arunachalam,73,82.4,completed,Urgent Care Clinic,Family Wellness,GYN,2014,9,Ed
Sharmistha Acharjee,61,64.4,Pending,Urgent Care Clinic,Anchor Mental Health,Breast Surgery,2015,10,Ed
Tamilarasi Tharmalingam,38,32.8,not started,Nursing Home,Marys Center,Ortho,2014,6,Ed
Revathi Balraj,40,42.8,completed,Hospital,Life Stride,Urology,2016,0,Ed
Saranya Panneer,42,67.2,Pending,Ambulatory Surgical Center,Life Stride,General Surgery,2017,2,Ed
YogeshKumar Gopal,44,56.8,not started,Doctor Office,Psychiatric Center Chartered,Thoracic Surgery,2017,6,Ed
Princy Narthana Anbhalaghan,32,36,completed,Urgent Care Clinic,Family Wellness,ENT,2016,2,Ed
Raman Arunachalam,44,50,Pending,Urgent Care Clinic,Anchor Mental Health,GYN,2015,0,Ed
Sharmistha Acharjee,53,68.8,not started,Nursing Home,Marys Center,Breast Surgery,2017,8,Ed
Tamilarasi Tharmalingam,84,68.4,completed,Hospital,Life Stride,Ortho,2014,9,Ed
Revathi Balraj,80,92.8,Pending,Ambulatory Surgical Center,Life Stride,Urology,2015,0,Ed
Saranya Panneer,77,69.2,not started,Doctor Office,Psychiatric Center Chartered,General Surgery,2017,7,Ed
YogeshKumar Gopal,51,97.6,completed,Urgent Care Clinic,Family Wellness,Thoracic Surgery,2014,7,Ed
Revathi Balraj,93,84.4,Pending,Urgent Care Clinic,Life Stride,ENT,2017,5,Ed
Saranya Panneer,41,83.6,not started,Nursing Home,Life Stride,GYN,2014,9,Ed
YogeshKumar Gopal,11,70.4,completed,Hospital,Psychiatric Center Chartered,Breast Surgery,2014,8,Ed
Princy Narthana Anbhalaghan,54,68.8,Pending,Ambulatory Surgical Center,Family Wellness,Ortho,2014,7,Ed
Raman Arunachalam,59,71.6,not started,Doctor Office,Anchor Mental Health,Urology,2017,8,Ed
Sharmistha Acharjee,98,87.2,completed,Urgent Care Clinic,Marys Center,General Surgery,2015,7,Ed
Tamilarasi Tharmalingam,57,96.4,Pending,Urgent Care Clinic,Life Stride,Thoracic Surgery,2016,5,Ed
Revathi Balraj,69,61.2,not started,Nursing Home,Life Stride,ENT,2015,6,Ed
Saranya Panneer,22,51.2,completed,Hospital,Psychiatric Center Chartered,GYN,2015,6,Ed
YogeshKumar Gopal,20,64,Pending,Ambulatory Surgical Center,Family Wellness,Breast Surgery,2015,11,Ed
Princy Narthana Anbhalaghan,65,79.6,not started,Doctor Office,Anchor Mental Health,Ortho,2017,4,Ed
Raman Arunachalam,77,66.8,completed,Urgent Care Clinic,Marys Center,Urology,2016,1,Ed
Sharmistha Acharjee,71,100.8,Pending,Urgent Care Clinic,Life Stride,General Surgery,2017,8,Ed
Tamilarasi Tharmalingam,37,61.6,not started,Nursing Home,Life Stride,Thoracic Surgery,2016,1,Ed
Revathi Balraj,48,78.8,completed,Hospital,Psychiatric Center Chartered,ENT,2014,1,Ed
Saranya Panneer,97,74.8,Pending,Ambulatory Surgical Center,Family Wellness,GYN,2017,4,Ed
YogeshKumar Gopal,42,61.2,not started,Doctor Office,Life Stride,Breast Surgery,2017,1,Ed
Princy Narthana Anbhalaghan,28,38.4,completed,Urgent Care Clinic,Life Stride,Ortho,2016,7,Ed
Raman Arunachalam,31,41.6,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Urology,2017,9,Ed
Sharmistha Acharjee,15,67.6,not started,Nursing Home,Family Wellness,General Surgery,2016,7,Ed
Tamilarasi Tharmalingam,81,82.4,completed,Hospital,Anchor Mental Health,Thoracic Surgery,2016,8,Ed
Revathi Balraj,32,41.6,Pending,Ambulatory Surgical Center,Marys Center,ENT,2014,9,Ed
Saranya Panneer,50,74.4,not started,Doctor Office,Life Stride,GYN,2015,1,Ed
YogeshKumar Gopal,18,70,completed,Urgent Care Clinic,Life Stride,Breast Surgery,2015,1,Ed
Revathi Balraj,17,68.4,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Ortho,2014,9,Ed
Saranya Panneer,14,55.6,not started,Nursing Home,Family Wellness,Urology,2017,8,Ed
YogeshKumar Gopal,16,58.4,completed,Hospital,Anchor Mental Health,General Surgery,2016,6,Ed
Princy Narthana Anbhalaghan,26,62.4,Pending,Ambulatory Surgical Center,Marys Center,Thoracic Surgery,2014,8,Ed
Raman Arunachalam,26,62,not started,Doctor Office,Life Stride,ENT,2016,3,Ed
Sharmistha Acharjee,43,50,completed,Urgent Care Clinic,Life Stride,GYN,2014,11,Ed
Tamilarasi Tharmalingam,23,35.6,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Breast Surgery,2017,8,Ed
Revathi Balraj,48,36.8,not started,Nursing Home,Family Wellness,Ortho,2015,11,Ed
Saranya Panneer,26,74,completed,Hospital,Life Stride,Urology,2014,0,Ed
YogeshKumar Gopal,24,82.8,Pending,Ambulatory Surgical Center,Life Stride,General Surgery,2014,5,Ed
Princy Narthana Anbhalaghan,40,66,not started,Doctor Office,Psychiatric Center Chartered,Thoracic Surgery,2017,8,Ed
Raman Arunachalam,18,81.2,completed,Urgent Care Clinic,Family Wellness,ENT,2014,11,Ed
Sharmistha Acharjee,75,68.4,Pending,Urgent Care Clinic,Anchor Mental Health,GYN,2016,0,Ed
Tamilarasi Tharmalingam,38,36.4,not started,Nursing Home,Marys Center,Breast Surgery,2016,10,Ed
Revathi Balraj,47,54.4,completed,Hospital,Life Stride,Ortho,2015,3,Ed
Saranya Panneer,96,102.8,Pending,Ambulatory Surgical Center,Life Stride,Urology,2016,10,Ed
YogeshKumar Gopal,82,73.6,not started,Doctor Office,Psychiatric Center Chartered,General Surgery,2016,7,Ed
Princy Narthana Anbhalaghan,10,31.6,completed,Urgent Care Clinic,Family Wellness,Thoracic Surgery,2014,9,Ed
Raman Arunachalam,58,51.2,Pending,Urgent Care Clinic,Anchor Mental Health,ENT,2014,1,Ed
Sharmistha Acharjee,98,86.8,not started,Nursing Home,Marys Center,GYN,2017,4,Ed
Tamilarasi Tharmalingam,67,91.6,completed,Hospital,Life Stride,Breast Surgery,2014,11,Ed
Revathi Balraj,85,86,Pending,Ambulatory Surgical Center,Life Stride,Ortho,2015,7,Ed
Saranya Panneer,30,61.2,not started,Doctor Office,Psychiatric Center Chartered,Urology,2016,8,Ed
YogeshKumar Gopal,97,87.6,completed,Urgent Care Clinic,Family Wellness,General Surgery,2016,6,Ed
Revathi Balraj,74,78.8,Pending,Urgent Care Clinic,Life Stride,Thoracic Surgery,2017,11,Ed
Saranya Panneer,15,70.4,not started,Nursing Home,Life Stride,ENT,2014,6,Ed
YogeshKumar Gopal,13,28.4,completed,Hospital,Psychiatric Center Chartered,GYN,2014,1,Ed
Princy Narthana Anbhalaghan,99,67.2,Pending,Ambulatory Surgical Center,Family Wellness,Breast Surgery,2014,5,Ed
Raman Arunachalam,87,58.8,not started,Doctor Office,Anchor Mental Health,Ortho,2014,7,Ed
Sharmistha Acharjee,27,50,completed,Urgent Care Clinic,Marys Center,Urology,2014,6,Ed
Tamilarasi Tharmalingam,59,60,Pending,Urgent Care Clinic,Life Stride,General Surgery,2014,11,Ed
Revathi Balraj,87,62,not started,Nursing Home,Life Stride,Thoracic Surgery,2015,8,Ed
Saranya Panneer,37,53.6,completed,Hospital,Psychiatric Center Chartered,ENT,2014,3,Ed
YogeshKumar Gopal,28,47.6,Pending,Ambulatory Surgical Center,Family Wellness,GYN,2017,10,Ed
Princy Narthana Anbhalaghan,44,45.6,not started,Doctor Office,Anchor Mental Health,Breast Surgery,2017,0,Ed
Raman Arunachalam,50,64.4,completed,Urgent Care Clinic,Marys Center,Ortho,2017,11,Ed
Sharmistha Acharjee,48,83.2,Pending,Urgent Care Clinic,Life Stride,Urology,2015,9,Ed
Tamilarasi Tharmalingam,12,39.2,not started,Nursing Home,Life Stride,General Surgery,2014,10,Ed
Revathi Balraj,41,69.6,completed,Hospital,Psychiatric Center Chartered,Thoracic Surgery,2017,8,Ed
Saranya Panneer,75,72,Pending,Ambulatory Surgical Center,Family Wellness,ENT,2014,5,Ed
YogeshKumar Gopal,10,73.6,not started,Doctor Office,Life Stride,GYN,2014,2,Ed
Princy Narthana Anbhalaghan,52,93.6,completed,Urgent Care Clinic,Life Stride,Breast Surgery,2015,9,Ed
Raman Arunachalam,55,60.8,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Ortho,2014,1,Ed
Sharmistha Acharjee,30,53.6,not started,Nursing Home,Family Wellness,Urology,2014,0,Ed
Tamilarasi Tharmalingam,74,68,completed,Hospital,Anchor Mental Health,General Surgery,2016,8,Ed
Revathi Balraj,49,75.6,Pending,Ambulatory Surgical Center,Marys Center,Thoracic Surgery,2017,3,Ed
Saranya Panneer,60,68.8,not started,Doctor Office,Life Stride,ENT,2014,9,Ed
YogeshKumar Gopal,20,39.6,completed,Urgent Care Clinic,Life Stride,GYN,2014,0,Ed
Revathi Balraj,15,39.2,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Breast Surgery,2016,4,Ed
Saranya Panneer,39,69.6,not started,Nursing Home,Family Wellness,Ortho,2016,5,Ed
YogeshKumar Gopal,73,56.8,completed,Hospital,Anchor Mental Health,Urology,2016,9,Ed
Princy Narthana Anbhalaghan,50,60.8,Pending,Ambulatory Surgical Center,Marys Center,General Surgery,2016,0,Ed
Raman Arunachalam,41,78,not started,Doctor Office,Life Stride,Thoracic Surgery,2015,8,Ed
Sharmistha Acharjee,20,78,completed,Urgent Care Clinic,Life Stride,ENT,2017,0,Ed
Tamilarasi Tharmalingam,78,64.8,Pending,Urgent Care Clinic,Psychiatric Center Chartered,GYN,2014,5,Ed
Revathi Balraj,80,78.4,not started,Nursing Home,Family Wellness,Breast Surgery,2015,8,Ed
Saranya Panneer,39,58.4,completed,Hospital,Life Stride,Ortho,2016,10,Ed
YogeshKumar Gopal,64,82.4,Pending,Ambulatory Surgical Center,Life Stride,Urology,2015,6,Ed
Princy Narthana Anbhalaghan,67,63.2,not started,Doctor Office,Psychiatric Center Chartered,General Surgery,2017,7,Ed
Raman Arunachalam,11,48.4,completed,Urgent Care Clinic,Family Wellness,Thoracic Surgery,2017,9,Ed
Sharmistha Acharjee,52,60.4,Pending,Urgent Care Clinic,Anchor Mental Health,ENT,2014,9,Ed
Tamilarasi Tharmalingam,42,69.2,not started,Nursing Home,Marys Center,GYN,2014,3,Ed
Revathi Balraj,55,59.2,completed,Hospital,Life Stride,Breast Surgery,2015,3,Ed
Saranya Panneer,85,52.4,Pending,Ambulatory Surgical Center,Life Stride,Ortho,2016,10,Ed
YogeshKumar Gopal,85,97.2,not started,Doctor Office,Psychiatric Center Chartered,Urology,2014,9,Ed
Princy Narthana Anbhalaghan,52,40,completed,Urgent Care Clinic,Family Wellness,General Surgery,2016,5,Ed
Raman Arunachalam,50,59.2,Pending,Urgent Care Clinic,Anchor Mental Health,Thoracic Surgery,2016,1,Ed
Sharmistha Acharjee,35,81.6,not started,Nursing Home,Marys Center,ENT,2017,4,Ed
Tamilarasi Tharmalingam,29,69.2,completed,Hospital,Life Stride,GYN,2017,7,Ed
Revathi Balraj,57,66.8,Pending,Ambulatory Surgical Center,Life Stride,Breast Surgery,2017,0,Ed
Saranya Panneer,17,29.2,not started,Doctor Office,Psychiatric Center Chartered,Ortho,2014,11,Ed
YogeshKumar Gopal,15,53.2,completed,Urgent Care Clinic,Family Wellness,Urology,2014,0,Ed
Revathi Balraj,78,64.4,Pending,Urgent Care Clinic,Life Stride,General Surgery,2015,3,Ed
Saranya Panneer,27,56.8,not started,Nursing Home,Life Stride,Thoracic Surgery,2014,7,Ed
YogeshKumar Gopal,11,61.6,completed,Hospital,Psychiatric Center Chartered,ENT,2017,0,Ed
Princy Narthana Anbhalaghan,48,90,Pending,Ambulatory Surgical Center,Family Wellness,GYN,2014,11,Ed
Raman Arunachalam,64,57.6,not started,Doctor Office,Anchor Mental Health,Breast Surgery,2015,0,Ed
Sharmistha Acharjee,21,82.8,completed,Urgent Care Clinic,Marys Center,Ortho,2017,9,Ed
Tamilarasi Tharmalingam,45,34.4,Pending,Urgent Care Clinic,Life Stride,Urology,2016,0,Ed
Revathi Balraj,100,89.6,not started,Nursing Home,Life Stride,General Surgery,2017,5,Ed
Saranya Panneer,67,89.6,completed,Hospital,Psychiatric Center Chartered,Thoracic Surgery,2017,5,Ed
YogeshKumar Gopal,62,66.4,Pending,Ambulatory Surgical Center,Family Wellness,ENT,2017,6,Ed
Princy Narthana Anbhalaghan,26,35.6,not started,Doctor Office,Anchor Mental Health,GYN,2014,1,Ed
Raman Arunachalam,30,52,completed,Urgent Care Clinic,Marys Center,Breast Surgery,2016,1,Ed
Sharmistha Acharjee,48,50.4,Pending,Urgent Care Clinic,Life Stride,Ortho,2017,10,Ed
Tamilarasi Tharmalingam,39,78.4,not started,Nursing Home,Life Stride,Urology,2016,5,Ed
Revathi Balraj,43,59.2,completed,Hospital,Psychiatric Center Chartered,General Surgery,2014,3,Ed
Saranya Panneer,52,75.6,Pending,Ambulatory Surgical Center,Family Wellness,Thoracic Surgery,2017,6,Ed
YogeshKumar Gopal,63,84,not started,Doctor Office,Life Stride,ENT,2017,3,Ed
Princy Narthana Anbhalaghan,23,35.2,completed,Urgent Care Clinic,Life Stride,GYN,2017,8,Ed
Raman Arunachalam,47,70.8,Pending,Urgent Care Clinic,Psychiatric Center Chartered,Breast Surgery,2017,10,Ed
Sharmistha Acharjee,37,66,not started,Nursing Home,Family Wellness,Ortho,2017,2,Ed
Tamilarasi Tharmalingam,89,60.4,completed,Hospital,Anchor Mental Health,Urology,2016,9,Ed
Revathi Balraj,48,59.6,Pending,Ambulatory Surgical Center,Marys Center,General Surgery,2015,7,Ed
Saranya Panneer,95,92.4,not started,Doctor Office,Life Stride,Thoracic Surgery,2017,10,Ed
YogeshKumar Gopal,90,82.8,completed,Urgent Care Clinic,Life Stride,ENT,2015,6,Ed
